Name,Date,Experiment,Number,Epochs,Actual Actions,Use Gap,Episode Length,Retrain Mode,Small Batches,Use SS,SS Prob,Loss,Best loss,Validation loss,Train loss
v2_E1N1 - 1Ep_ActA_SGap_60EL_Batch_dilate_0.6A_1e-06LR_Vdtw,2023-09-05 15:05:07.662132,1,1,1,True,SGap,60,batch_pred,1,False,-,dilate,0.0008976799435913563,0.0008976799435913563,0.25328728392583516
v2_E1N1 - 1Ep_ActA_SGap_60EL_Batch_dilate_0.6A_1e-06LR_Vdtw,2023-09-12 14:51:08.503656,1,1,1,True,SGap,60,batch_pred,1,False,-,dilate,0.0008976799435913563,0.0008976799435913563,0.25328728392583516
v2_E1N1 - 1Ep_ActA_SGap_60EL_Batch_dilate_0.6A_1e-06LR_Vdtw,2023-09-13 11:23:41.184042,1,1,1,True,SGap,60,batch_pred,1,False,-,dilate,0.0008976799435913563,0.0008976799435913563,0.25328728392583516
v2_E1N1 - 1Ep_ActA_SGap_60EL_Batch_dilate_0.6A_1e-06LR_Vdtw,2023-10-04 10:28:08.667667,1,1,1,True,SGap,60,batch_pred,1,False,-,dilate,0.0012313683982938528,0.0012313683982938528,-0.182772627049083
v2_E1N1 - 2Ep_ActA_SGap_60EL_Batch_dilate_0.6A_1e-06LR_Vdtw,2023-10-04 10:30:29.209050,1,1,2,True,SGap,60,batch_pred,1,False,-,dilate,0.0008849718142300844,0.0008849718142300844,-0.1992076475070704
v2_E1N1 - 2Ep_ActA_SGap_60EL_Batch_dilate_0.6A_1e-06LR_Vdtw,2023-10-04 10:32:18.980688,1,1,2,True,SGap,60,batch_pred,1,False,-,dilate,0.0007477262406609952,0.0007477262406609952,0.24297039644843943
v2_E1N1 - 2Ep_ActA_SGap_60EL_Batch_dilate_0.6A_1e-06LR_Vdtw,2023-10-05 10:06:28.890185,1,1,2,True,SGap,60,batch_pred,1,False,-,dilate,0.0006919386214576662,0.0006919386214576662,-0.14874056870237404
E1N2 - 2Ep_ActA_SGap_240EL_Batch_dilate_0.6A_1e-06LR_Vdtw,2023-10-14 16:48:42.680390,1,2,2,True,SGap,240,batch_pred,1,False,-,dilate,nan,nan,3.4063281612470746
E1N3 - 2Ep_ActA_SGap_240EL_Batch_dilate_0.6A_1e-06LR_Vdtw,2023-10-15 01:07:31.306022,1,3,2,True,SGap,240,batch_pred,1,False,-,dilate,nan,nan,5.109218705445528
E1N4 - 2Ep_ActA_SGap_240EL_Batch_dilate_0.6A_1e-06LR_Vdtw,2023-10-15 01:08:00.461652,1,4,2,True,SGap,240,batch_pred,1,False,-,dilate,nan,nan,3.4063281612470746
E1N5 - 2Ep_ActA_SGap_240EL_Batch_dilate_0.6A_1e-06LR_Vdtw,2023-10-15 15:59:33.380110,1,5,2,True,SGap,240,batch_pred,1,False,-,dilate,nan,nan,3.4063281612470746
E1N6 - 2Ep_ActA_SGap_240EL_Batch_dilate_0.6A_1e-06LR_Vdtw,2023-10-15 16:09:41.169562,1,6,2,True,SGap,240,batch_pred,1,False,-,dilate,nan,nan,3.4063281612470746
E1N7 - 2Ep_ActA_SGap_240EL_Batch_dilate_0.6A_1e-06LR_Vdtw,2023-10-15 16:17:23.616172,1,7,2,True,SGap,240,batch_pred,1,False,-,dilate,nan,nan,3.4063281612470746
E1N8 - 2Ep_ActA_SGap_240EL_Batch_dilate_0.6A_1e-06LR_Vdtw,2023-10-15 16:43:02.107920,1,8,2,True,SGap,240,batch_pred,1,False,-,dilate,0.1949547678232193,0.1949547678232193,4.220686848516817
E1N9 - 2Ep_ActA_SGap_240EL_Batch_dilate_0.6A_1e-06LR_Vdtw,2023-10-15 17:20:06.115224,1,9,2,True,SGap,240,batch_pred,1,False,-,dilate,0.1949547678232193,0.1949547678232193,4.220686848516817
E1N10 - 2Ep_ActA_SGap_240EL_Batch_dilate_0.6A_1e-06LR_Vdtw,2023-10-15 17:39:11.613530,1,10,2,True,SGap,240,batch_pred,1,False,-,dilate,0.1949547678232193,0.1949547678232193,4.220686848516817
E1N11 - 2Ep_ActA_SGap_240EL_Batch_dilate_0.6A_1e-06LR_Vdtw,2023-10-15 17:53:44.599947,1,11,2,True,SGap,240,batch_pred,1,False,-,dilate,0.1949547678232193,0.1949547678232193,4.220686848516817
E1N12 - 2Ep_ActA_SGap_240EL_Batch_dilate_0.6A_1e-06LR_Vdtw,2023-10-16 23:35:52.209016,1,12,2,True,SGap,240,batch_pred,1,False,-,dilate,0.1949547678232193,0.1949547678232193,4.220686848516817
E1N13 - 2Ep_ActA_SGap_240EL_Batch_dilate_0.6A_1e-06LR_Vdtw,2023-10-16 23:36:31.939761,1,13,2,True,SGap,240,batch_pred,1,False,-,dilate,0.1949547678232193,0.1949547678232193,4.220686848516817
E1N1 - 2Ep_ActA_SGap_240EL_Batch_dilate_0.6A_1e-06LR_Vdtw,2023-11-14 14:33:40.012588,1,1,2,True,SGap,240,batch_pred,1,False,-,dilate,0.017999228090047836,0.017999228090047836,4.086423060408345
E1N2 - 2Ep_ActA_SGap_240EL_Batch_dilate_0.6A_1e-06LR_Vdtw,2023-11-14 14:37:20.229149,1,2,2,True,SGap,240,batch_pred,1,False,-,dilate,0.017999228090047836,0.017999228090047836,4.086423060408345
E1N3 - 2Ep_ActA_SGap_240EL_Batch_dilate_0.6A_1e-06LR_Vdtw,2023-11-14 14:54:14.440812,1,3,2,True,SGap,240,batch_pred,1,False,-,dilate,0.017999228090047836,0.017999228090047836,4.086423060408345
E1N4 - 2Ep_ActA_SGap_240EL_Batch_dilate_0.6A_1e-06LR_Vdtw,2023-11-15 17:21:33.792528,1,4,2,True,SGap,240,batch_pred,1,False,-,dilate,0.017999228090047836,0.017999228090047836,4.086423060408345
E1N5 - 20Ep_ActA_SGap_240EL_Batch_dilate_0.6A_1e-06LR_Vdtw,2023-11-15 17:26:27.395536,1,5,20,True,SGap,240,batch_pred,1,False,-,dilate,0.014999451115727425,0.014999451115727425,2.856185594421846
E1N2 - 1Ep_ActA_SGap_240EL_Batch_dilate_all_0.6A_1e-06LR_Vdtw,2024-01-21 17:08:19.509804,1,2,1,True,SGap,240,batch_pred,1,False,-,dilate,0.07977300137281418,0.07977300137281418,1.9666016016687666
E1N3 - 1Ep_ActA_SGap_240EL_Batch_dilate_all_0.6A_1e-06LR_Vdtw,2024-01-21 17:12:07.513334,1,3,1,True,SGap,240,batch_pred,1,False,-,dilate,0.07977300137281418,0.07977300137281418,1.9666016016687666
E1N4 - 1Ep_ActA_SGap_60EL_Batch_dilate_all_0.6A_1e-06LR_Vdtw,2024-01-21 17:18:53.219166,1,4,1,True,SGap,60,batch_pred,1,False,-,dilate,0.1102253869175911,0.1102253869175911,0.13366735141192163
